,date,event,location
0,2022-01-01,Rise in COVID-19 Omicron variant cases lead to new restrictions,India
1,2022-02-18,Severe cold wave and winter storms disrupt northern India,Northern India
2,2022-03-01,"Water scarcity worsens, impacting agriculture in multiple states",India
3,2022-04-26,"Chennai braces for Cyclone Agni, coastal evacuations carried out",Tamil Nadu
4,2022-05-02,Punjab assembly elections; Aam Aadmi Party wins majority,Punjab
5,2022-06-15,India announces $50 billion plan to boost tech manufacturing,India
6,2022-07-08,Shiv Sena splits leading to political realignment in Maharashtra,Maharashtra
7,2022-09-15,Heavy monsoon rains cause flooding and displacement in Assam and Arunachal Pradesh,"Assam, Arunachal Pradesh"
8,2022-10-24 to 2022-11-13,"ICC Men's T20 World Cup partly hosted by India, revitalizing cricket interest",India/UAE
9,2022-11-15,India overtakes UK to become 5th largest economy globally,India
10,2022-12-18,India celebrates 75 years of independence as 'Azadi Ka Amrit Mahotsav',India
11,2022-12-26,Massive Bharat Jodo Yatra launched by Congress to revive political presence,India
